Route_Number,Reason,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M990,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,25 MIN,6,Running Late
M631,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,5,Running Late
X077,Mechanical Problem,08 O'Clock,Bronx,VAN TRANS LLC,-1,10,Breakdown
M636,Problem Run,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,60 MIN,5,Running Late
M664,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
K402,Other,09 O'Clock,Brooklyn,ADDIES,60 MIN,1,Running Late
K554,Other,14 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,30 MIN,10,Running Late
K623,Heavy Traffic,06 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,30 MIN,1,Running Late
X019,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC,20 MIN,1,Running Late
X113,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC,15 MIN,4,Running Late
M658,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,2,Running Late
M696,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
M657,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
M868,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
M636,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,1 HR,6,Running Late
M802,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,9,Running Late
M300,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,9,Running Late
M666,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,5,Running Late
W937,Heavy Traffic,08 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,2,Running Late
M260,Mechanical Problem,15 O'Clock,Staten Island,PRIDE TRANSPORTATION ,45 MIN,1,Running Late
M303,Other,07 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,20-25 MIN,2,Running Late
X060,Other,07 O'Clock,Bronx,"BORO TRANSIT, INC.",40-45 MIN,2,Running Late
M868,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,1,Running Late
Q801,Heavy Traffic,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,20 MIN,3,Running Late
L726,Heavy Traffic,07 O'Clock,Bronx,"RELIANT TRANS, INC.",15 MIN,2,Running Late
M300,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,5,Running Late
M936,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
M657,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,10,Running Late
M526,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
M990,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
W954,Heavy Traffic,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,2,Running Late
Q911,Heavy Traffic,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
M802,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,5,Running Late
M603,Problem Run,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,40 MIN,6,Running Late
W928,Other,08 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,3,Running Late
W957,Heavy Traffic,07 O'Clock,Westchester,"RELIANT TRANS, INC.",25 MIN,3,Running Late
W954,Heavy Traffic,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,5,Running Late
L723,Heavy Traffic,07 O'Clock,Others,"RELIANT TRANS, INC.",30 MIN,7,Running Late
M603,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,40 MIN,6,Running Late
L997,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC.",20 MIN,3,Running Late
M636,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,1 HR,6,Running Late
M526,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
