Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M657,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
M526,Heavy Traffic,2444,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
M257,Heavy Traffic,4112,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,25 MIN,4,Running Late
X954,Heavy Traffic,10264,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,15 MIN,9,Running Late
K804,Heavy Traffic,20915,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,10 MIN,6,Running Late
K690,Heavy Traffic,15460,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,10 MIN,8,Running Late
M696,Problem Run,2035,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,8,Running Late
X951,Heavy Traffic,10264,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,5 MIN,8,Running Late
M636,Problem Run,2930,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,45 MIN,5,Running Late
X218,Other,8410,07 O'Clock,Bronx,"BORO TRANSIT, INC.",15-20 MIN,7,Running Late
M631,Problem Run,2930,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,5,Running Late
M300,Heavy Traffic,2032,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,6,Running Late
M671,Heavy Traffic,2655,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,8,Running Late
M664,Problem Run,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,4,Running Late
M648,Heavy Traffic,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
M208,Heavy Traffic,2699,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,7,Running Late
M635,Heavy Traffic,2930,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,45 MIN,6,Running Late
M868,Heavy Traffic,4112,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,3,Running Late
M656,Heavy Traffic,2911,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,1,Running Late
K650,Heavy Traffic,13685,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,20 MIN,2,Running Late
M704,Problem Run,1378,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
M658,Heavy Traffic,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
M531,Heavy Traffic,5154,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,3,Running Late
M210,Other,2622,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,1 HR,2,Running Late
X493,Heavy Traffic,11688,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,10 MIN,5,Running Late
M657,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
M936,Heavy Traffic,1400,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
M749,Heavy Traffic,3480,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,4,Running Late
M802,Heavy Traffic,2632,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,9,Running Late
M300,Heavy Traffic,2032,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,8,Running Late
M631,Heavy Traffic,2930,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
M808,Heavy Traffic,2032,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,6,Running Late
K810,Heavy Traffic,16588,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
M650,Other,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
